Marka,Model,Nazwa części,Cena zakupu [zł],Średnia cena rynkowa,Ilość aukcji na rynku,Popyt
Skoda,Yeti,Wtrysk bezpośredni paliwa,169,184,919,600
Skoda,Yeti,Tarcza hamulcowa,82,109,760,760
Skoda,Yeti,Sprężyna przednia,241,251,556,810
Skoda,Yeti,Filtr oleju,66,77,1002,2000
Skoda,Yeti,Chłodnica,1166,1306,21,30
Mazda,2,Wahacz przedni,501,516,308,500
Mazda,2,Amortyzator tylni,387,420,304,590
Mazda,2,Klocki hamulcowe,172,180,496,690
Mazda,2,Maglownica,380,395,292,310
Mazda,2,Sprzęgło dwumasowe,481,521,353,210
Mazda,2,Wtrysk bezpośredni paliwa,220,230,421,1240
Mazda,2,Tarcza hamulcowa,188,202,710,660
Mazda,2,Sprężyna przednia,174,188,535,490
Mazda,2,Filtr oleju,48,62,1333,1790
Mazda,2,Chłodnica,1137,1313,37,40
Mazda,MX5,Wahacz przedni,306,331,390,330
Mazda,MX5,Amortyzator tylni,304,321,292,480
Mazda,MX5,Klocki hamulcowe,103,110,535,1000
Mazda,MX5,Maglownica,309,331,190,260
Mazda,MX5,Sprzęgło dwumasowe,386,427,252,380
Mazda,MX5,Wtrysk bezpośredni paliwa,136,150,1146,1050
Mazda,MX5,Tarcza hamulcowa,131,161,508,850
Mazda,MX5,Sprężyna przednia,195,240,679,540
Mazda,MX5,Filtr oleju,51,57,1000,1910
Mazda,MX5,Chłodnica,1033,1127,13,30
Mazda,RX8,Wahacz przedni,435,446,363,640
Mazda,RX8,Amortyzator tylni,474,489,395,430
Mazda,RX8,Klocki hamulcowe,62,79,400,1010
Mazda,RX8,Maglownica,417,453,183,270
Mazda,RX8,Sprzęgło dwumasowe,329,346,377,240
Mazda,RX8,Wtrysk bezpośredni paliwa,221,244,521,1500
Mazda,RX8,Tarcza hamulcowa,152,181,604,880
Mazda,RX8,Sprężyna przednia,193,224,617,670
Mazda,RX8,Filtr oleju,69,84,1058,1870
Mazda,RX8,Chłodnica,1219,1314,48,40
Mazda,CX5,Wahacz przedni,462,488,296,730
Mazda,CX5,Amortyzator tylni,415,441,268,460
Mazda,CX5,Klocki hamulcowe,148,158,648,840
Mazda,CX5,Maglownica,344,363,201,380
Mazda,CX5,Sprzęgło dwumasowe,631,656,395,290
Mazda,CX5,Wtrysk bezpośredni paliwa,288,308,694,730
Mazda,CX5,Tarcza hamulcowa,108,143,676,820
Mazda,CX5,Sprężyna przednia,214,234,657,850
Mazda,CX5,Filtr oleju,36,52,1487,1350
Mazda,CX5,Chłodnica,1029,1146,21,40
Mazda,3,Wahacz przedni,417,439,357,450
Mazda,3,Amortyzator tylni,366,372,347,410
Mazda,3,Klocki hamulcowe,170,180,467,1170
Mazda,3,Maglownica,415,429,197,350
Mazda,3,Sprzęgło dwumasowe,497,537,479,480
Mazda,3,Wtrysk bezpośredni paliwa,295,319,751,1110
Mazda,3,Tarcza hamulcowa,151,186,508,660
Mazda,3,Sprężyna przednia,246,268,504,760
Mazda,3,Filtr oleju,59,78,1048,1110
Mazda,3,Chłodnica,1266,1419,30,10
Mazda,CX30,Wahacz przedni,226,249,364,380
Mazda,CX30,Amortyzator tylni,400,423,292,610
Mazda,CX30,Klocki hamulcowe,145,157,743,1160
Mazda,CX30,Maglownica,218,228,124,350
Mazda,CX30,Sprzęgło dwumasowe,421,445,314,280
Mazda,CX30,Wtrysk bezpośredni paliwa,147,159,629,1340
Mazda,CX30,Tarcza hamulcowa,122,152,789,850
Mazda,CX30,Sprężyna przednia,212,223,632,770
Mazda,CX30,Filtr oleju,33,42,1224,1020
Mazda,CX30,Chłodnica,1308,1413,45,30
Mazda,Tribute,Wahacz przedni,229,252,360,690
Mazda,Tribute,Amortyzator tylni,476,487,330,520
Mazda,Tribute,Klocki hamulcowe,127,142,525,990
Mazda,Tribute,Maglownica,285,303,170,160
Mazda,Tribute,Sprzęgło dwumasowe,683,721,382,240
Mazda,Tribute,Wtrysk bezpośredni paliwa,169,195,728,1290
Mazda,Tribute,Tarcza hamulcowa,190,211,506,870
Mazda,Tribute,Sprężyna przednia,172,200,713,540
Mazda,Tribute,Filtr oleju,81,97,1390,1220
Mazda,Tribute,Chłodnica,1802,1941,20,40
Mazda,6,Wahacz przedni,588,599,313,670
Mazda,6,Amortyzator tylni,493,511,291,710
Mazda,6,Klocki hamulcowe,189,197,698,720
Mazda,6,Maglownica,241,273,239,260
Mazda,6,Sprzęgło dwumasowe,371,411,346,500
Mazda,6,Wtrysk bezpośredni paliwa,252,283,435,1260
Mazda,6,Tarcza hamulcowa,160,177,529,890
Mazda,6,Sprężyna przednia,119,169,708,700
Mazda,6,Filtr oleju,79,85,1416,1350
Mazda,6,Chłodnica,1480,1580,38,20
Mazda,RX7,Wahacz przedni,448,476,313,290
Mazda,RX7,Amortyzator tylni,321,354,291,380
Mazda,RX7,Klocki hamulcowe,183,201,564,870
Mazda,RX7,Maglownica,287,309,275,180
Mazda,RX7,Sprzęgło dwumasowe,530,577,239,420
Mazda,RX7,Wtrysk bezpośredni paliwa,275,296,905,1320
Mazda,RX7,Tarcza hamulcowa,168,184,792,700
Mazda,RX7,Sprężyna przednia,218,234,620,700
Mazda,RX7,Filtr oleju,58,72,1110,1430
Mazda,RX7,Chłodnica,1653,1806,35,10
Mazda,CX7,Wahacz przedni,548,578,311,680
Mazda,CX7,Amortyzator tylni,430,465,291,400
Mazda,CX7,Klocki hamulcowe,113,119,558,750
Mazda,CX7,Maglownica,478,523,262,400
Mazda,CX7,Sprzęgło dwumasowe,502,532,257,270
Mazda,CX7,Wtrysk bezpośredni paliwa,144,163,422,1370
Mazda,CX7,Tarcza hamulcowa,142,174,738,650
Mazda,CX7,Sprężyna przednia,189,219,796,720
Mazda,CX7,Filtr oleju,49,67,1174,1900
Mazda,CX7,Chłodnica,1868,1927,18,10
Toyota,Auris,Wahacz przedni,228,256,335,560
Toyota,Auris,Amortyzator tylni,425,457,256,500
Toyota,Auris,Klocki hamulcowe,135,149,785,530
Toyota,Auris,Maglownica,374,385,205,270
Toyota,Auris,Sprzęgło dwumasowe,356,403,458,420
Toyota,Auris,Wtrysk bezpośredni paliwa,224,236,1100,1060
Toyota,Auris,Tarcza hamulcowa,177,198,506,850
Toyota,Auris,Sprężyna przednia,91,106,758,410
Toyota,Auris,Filtr oleju,79,92,1161,1380
Toyota,Auris,Chłodnica,1450,1588,8,20
Toyota,Corolla,Wahacz przedni,472,485,333,520
Toyota,Corolla,Amortyzator tylni,442,477,348,530
Toyota,Corolla,Klocki hamulcowe,89,103,498,1100
Toyota,Corolla,Maglownica,266,276,206,290
Toyota,Corolla,Sprzęgło dwumasowe,502,543,308,370
Toyota,Corolla,Wtrysk bezpośredni paliwa,189,212,793,760
Toyota,Corolla,Tarcza hamulcowa,120,134,638,670
Toyota,Corolla,Sprężyna przednia,189,202,600,670
Toyota,Corolla,Filtr oleju,78,98,1172,1910
Toyota,Corolla,Chłodnica,1919,2076,9,30
Toyota,Camry,Wahacz przedni,241,259,341,630
Toyota,Camry,Amortyzator tylni,386,420,265,350
Toyota,Camry,Klocki hamulcowe,55,60,569,670
Toyota,Camry,Maglownica,397,418,204,380
Toyota,Camry,Sprzęgło dwumasowe,553,600,264,320
Toyota,Camry,Wtrysk bezpośredni paliwa,200,226,893,1430
Toyota,Camry,Tarcza hamulcowa,116,133,542,840
Toyota,Camry,Sprężyna przednia,141,168,516,740
Toyota,Camry,Filtr oleju,47,54,1407,1790
Toyota,Camry,Chłodnica,1022,1214,23,50
Toyota,Highlander,Wahacz przedni,361,389,363,530
Toyota,Highlander,Amortyzator tylni,326,358,290,360
Toyota,Highlander,Klocki hamulcowe,195,211,729,700
Toyota,Highlander,Maglownica,496,512,126,210
Toyota,Highlander,Sprzęgło dwumasowe,674,692,272,290
Toyota,Highlander,Wtrysk bezpośredni paliwa,125,156,818,1000
Toyota,Highlander,Tarcza hamulcowa,113,124,588,890
Toyota,Highlander,Sprężyna przednia,118,143,568,430
Toyota,Highlander,Filtr oleju,90,103,1424,1420
Toyota,Highlander,Chłodnica,1433,1561,26,40
Toyota,Prius,Wahacz przedni,450,465,354,720
Toyota,Prius,Amortyzator tylni,303,318,280,300
Toyota,Prius,Klocki hamulcowe,68,80,433,870
Toyota,Prius,Maglownica,444,467,108,330
Toyota,Prius,Sprzęgło dwumasowe,437,472,411,500
Toyota,Prius,Wtrysk bezpośredni paliwa,269,304,585,1190
Toyota,Prius,Tarcza hamulcowa,104,132,735,840
Toyota,Prius,Sprężyna przednia,130,178,703,610
Toyota,Prius,Filtr oleju,70,76,1403,1380
Toyota,Prius,Chłodnica,1310,1378,28,40
Toyota,RAV4,Wahacz przedni,403,416,352,760
Toyota,RAV4,Amortyzator tylni,380,412,328,670
Toyota,RAV4,Klocki hamulcowe,129,136,690,990
Toyota,RAV4,Maglownica,422,466,261,340
Toyota,RAV4,Sprzęgło dwumasowe,657,689,287,440
Toyota,RAV4,Wtrysk bezpośredni paliwa,260,271,890,590
Toyota,RAV4,Tarcza hamulcowa,139,167,540,870
Toyota,RAV4,Sprężyna przednia,174,190,759,650
Toyota,RAV4,Filtr oleju,59,75,1104,1450
Toyota,RAV4,Chłodnica,1519,1680,21,40
Toyota,Yaris,Wahacz przedni,293,315,390,600
Toyota,Yaris,Amortyzator tylni,315,349,313,330
Toyota,Yaris,Klocki hamulcowe,153,167,730,940
Toyota,Yaris,Maglownica,485,511,216,130
Toyota,Yaris,Sprzęgło dwumasowe,654,681,276,270
Toyota,Yaris,Wtrysk bezpośredni paliwa,219,232,901,710
Toyota,Yaris,Tarcza hamulcowa,144,173,645,760
Toyota,Yaris,Sprężyna przednia,104,135,520,440
Toyota,Yaris,Filtr oleju,34,52,1472,1890
Toyota,Yaris,Chłodnica,1460,1624,38,30
Toyota,Verso,Wahacz przedni,548,567,305,420
Toyota,Verso,Amortyzator tylni,361,393,321,660
Toyota,Verso,Klocki hamulcowe,175,183,574,670
Toyota,Verso,Maglownica,329,352,217,130
Toyota,Verso,Sprzęgło dwumasowe,555,587,242,230
Toyota,Verso,Wtrysk bezpośredni paliwa,285,314,455,820
Toyota,Verso,Tarcza hamulcowa,144,159,609,750
Toyota,Verso,Sprężyna przednia,168,208,783,900
Toyota,Verso,Filtr oleju,34,41,1036,1410
Toyota,Verso,Chłodnica,1191,1367,5,30
Toyota,Hilux,Wahacz przedni,238,261,375,370
Toyota,Hilux,Amortyzator tylni,447,454,351,410
Toyota,Hilux,Klocki hamulcowe,82,89,710,1070
Toyota,Hilux,Maglownica,476,506,171,180
Toyota,Hilux,Sprzęgło dwumasowe,566,586,259,400
Toyota,Hilux,Wtrysk bezpośredni paliwa,156,189,797,1490
Toyota,Hilux,Tarcza hamulcowa,109,135,784,720
Toyota,Hilux,Sprężyna przednia,118,143,557,560
Toyota,Hilux,Filtr oleju,32,45,1307,1320
Toyota,Hilux,Chłodnica,1897,2033,42,50
Toyota,Avensis,Wahacz przedni,574,599,301,550
Toyota,Avensis,Amortyzator tylni,336,370,283,350
Toyota,Avensis,Klocki hamulcowe,177,183,693,570
Toyota,Avensis,Maglownica,396,406,119,100
Toyota,Avensis,Sprzęgło dwumasowe,695,731,260,340
Toyota,Avensis,Wtrysk bezpośredni paliwa,102,136,426,710
Toyota,Avensis,Tarcza hamulcowa,178,201,555,610
Toyota,Avensis,Sprężyna przednia,192,205,800,450
Toyota,Avensis,Filtr oleju,33,43,1308,1970
Toyota,Avensis,Chłodnica,1114,1300,17,40
Fiat,Panda,Wahacz przedni,211,230,267,280
Fiat,Panda,Amortyzator tylni,390,410,324,310
Fiat,Panda,Klocki hamulcowe,172,179,796,1170
Fiat,Panda,Maglownica,314,327,151,260
Fiat,Panda,Sprzęgło dwumasowe,520,546,415,440
Fiat,Panda,Wtrysk bezpośredni paliwa,158,171,515,870
Fiat,Panda,Tarcza hamulcowa,92,104,643,850
Fiat,Panda,Sprężyna przednia,121,154,588,440
Fiat,Panda,Filtr oleju,76,91,1034,1770
Fiat,Panda,Chłodnica,1532,1704,33,30
Fiat,Punto,Wahacz przedni,210,235,335,450
Fiat,Punto,Amortyzator tylni,335,346,308,330
Fiat,Punto,Klocki hamulcowe,154,162,695,850
Fiat,Punto,Maglownica,326,369,206,330
Fiat,Punto,Sprzęgło dwumasowe,461,487,284,440
Fiat,Punto,Wtrysk bezpośredni paliwa,217,233,1130,1390
Fiat,Punto,Tarcza hamulcowa,159,191,658,630
Fiat,Punto,Sprężyna przednia,207,237,795,670
Fiat,Punto,Filtr oleju,85,97,1109,1320
Fiat,Punto,Chłodnica,1304,1442,20,10
Fiat,Tipo,Wahacz przedni,565,582,330,750
Fiat,Tipo,Amortyzator tylni,348,354,358,510
Fiat,Tipo,Klocki hamulcowe,56,64,679,1130
Fiat,Tipo,Maglownica,457,492,282,150
Fiat,Tipo,Sprzęgło dwumasowe,537,575,225,420
Fiat,Tipo,Wtrysk bezpośredni paliwa,160,194,828,890
Fiat,Tipo,Tarcza hamulcowa,190,216,621,830
Fiat,Tipo,Sprężyna przednia,97,147,705,790
Fiat,Tipo,Filtr oleju,32,40,1241,2000
Fiat,Tipo,Chłodnica,1693,1890,18,10
Fiat,500,Wahacz przedni,327,343,347,500
Fiat,500,Amortyzator tylni,301,331,353,750
Fiat,500,Klocki hamulcowe,100,114,616,820
Fiat,500,Maglownica,269,281,127,310
Fiat,500,Sprzęgło dwumasowe,640,665,495,390
Fiat,500,Wtrysk bezpośredni paliwa,102,132,1103,970
Fiat,500,Tarcza hamulcowa,198,220,700,610
Fiat,500,Sprężyna przednia,186,216,767,730
Fiat,500,Filtr oleju,90,106,1143,1220
Fiat,500,Chłodnica,1484,1617,21,30
Fiat,Bravo,Wahacz przedni,503,527,400,470
Fiat,Bravo,Amortyzator tylni,376,388,332,470
Fiat,Bravo,Klocki hamulcowe,161,180,602,660
Fiat,Bravo,Maglownica,294,310,186,160
Fiat,Bravo,Sprzęgło dwumasowe,554,572,314,480
Fiat,Bravo,Wtrysk bezpośredni paliwa,171,198,640,1100
Fiat,Bravo,Tarcza hamulcowa,176,201,562,890
Fiat,Bravo,Sprężyna przednia,229,271,609,690
Fiat,Bravo,Filtr oleju,70,81,1119,1330
Fiat,Bravo,Chłodnica,1043,1106,34,50
Fiat,Cinquecento,Wahacz przedni,239,263,382,450
Fiat,Cinquecento,Amortyzator tylni,319,325,351,750
Fiat,Cinquecento,Klocki hamulcowe,93,110,543,1010
Fiat,Cinquecento,Maglownica,445,479,216,240
Fiat,Cinquecento,Sprzęgło dwumasowe,609,659,256,280
Fiat,Cinquecento,Wtrysk bezpośredni paliwa,198,233,764,1300
Fiat,Cinquecento,Tarcza hamulcowa,172,190,593,640
Fiat,Cinquecento,Sprężyna przednia,78,121,516,580
Fiat,Cinquecento,Filtr oleju,66,82,1467,1990
Fiat,Cinquecento,Chłodnica,1422,1592,26,40
Fiat,Multipla,Wahacz przedni,559,570,373,550
Fiat,Multipla,Amortyzator tylni,391,418,328,770
Fiat,Multipla,Klocki hamulcowe,134,142,502,440
Fiat,Multipla,Maglownica,366,401,249,330
Fiat,Multipla,Sprzęgło dwumasowe,534,550,390,500
Fiat,Multipla,Wtrysk bezpośredni paliwa,282,311,804,1040
Fiat,Multipla,Tarcza hamulcowa,136,152,700,670
Fiat,Multipla,Sprężyna przednia,90,128,591,870
Fiat,Multipla,Filtr oleju,47,61,1345,1710
Fiat,Multipla,Chłodnica,1514,1589,45,40
Fiat,Stilo,Wahacz przedni,341,353,386,730
Fiat,Stilo,Amortyzator tylni,349,380,252,320
Fiat,Stilo,Klocki hamulcowe,69,81,800,570
Fiat,Stilo,Maglownica,432,476,235,270
Fiat,Stilo,Sprzęgło dwumasowe,419,445,268,410
Fiat,Stilo,Wtrysk bezpośredni paliwa,295,324,681,730
Fiat,Stilo,Tarcza hamulcowa,105,137,684,830
Fiat,Stilo,Sprężyna przednia,105,116,563,820
Fiat,Stilo,Filtr oleju,79,96,1323,1010
Fiat,Stilo,Chłodnica,1797,1884,19,20
Fiat,Seicento,Wahacz przedni,512,529,289,430
Fiat,Seicento,Amortyzator tylni,425,437,291,290
Fiat,Seicento,Klocki hamulcowe,133,142,757,460
Fiat,Seicento,Maglownica,353,385,220,280
Fiat,Seicento,Sprzęgło dwumasowe,656,694,367,220
Fiat,Seicento,Wtrysk bezpośredni paliwa,296,306,638,1240
Fiat,Seicento,Tarcza hamulcowa,85,99,589,820
Fiat,Seicento,Sprężyna przednia,108,154,747,560
Fiat,Seicento,Filtr oleju,66,81,1333,1250
Fiat,Seicento,Chłodnica,1234,1354,30,40
Fiat,Ducato,Wahacz przedni,435,447,340,550
Fiat,Ducato,Amortyzator tylni,479,487,264,320
Fiat,Ducato,Klocki hamulcowe,195,215,450,890
Fiat,Ducato,Maglownica,286,329,162,350
Fiat,Ducato,Sprzęgło dwumasowe,680,702,411,440
Fiat,Ducato,Wtrysk bezpośredni paliwa,179,205,726,690
Fiat,Ducato,Tarcza hamulcowa,198,209,500,620
Fiat,Ducato,Sprężyna przednia,117,149,672,460
Fiat,Ducato,Filtr oleju,73,80,1397,1490
Fiat,Ducato,Chłodnica,1045,1213,42,50
Alfa Romeo,Gulia,Wahacz przedni,523,539,398,730
Alfa Romeo,Gulia,Amortyzator tylni,467,474,309,750
Alfa Romeo,Gulia,Klocki hamulcowe,152,161,693,570
Alfa Romeo,Gulia,Maglownica,228,245,149,310
Alfa Romeo,Gulia,Sprzęgło dwumasowe,507,524,242,440
Alfa Romeo,Gulia,Wtrysk bezpośredni paliwa,236,258,401,850
Alfa Romeo,Gulia,Tarcza hamulcowa,114,127,696,840
Alfa Romeo,Gulia,Sprężyna przednia,154,193,763,720
Alfa Romeo,Gulia,Filtr oleju,40,46,1446,1650
Alfa Romeo,Gulia,Chłodnica,1548,1737,17,50
Alfa Romeo,Gulietta,Wahacz przedni,224,251,367,800
Alfa Romeo,Gulietta,Amortyzator tylni,353,387,330,400
Alfa Romeo,Gulietta,Klocki hamulcowe,104,117,628,600
Alfa Romeo,Gulietta,Maglownica,276,303,114,230
Alfa Romeo,Gulietta,Sprzęgło dwumasowe,545,580,486,230
Alfa Romeo,Gulietta,Wtrysk bezpośredni paliwa,177,206,1156,1000
Alfa Romeo,Gulietta,Tarcza hamulcowa,107,131,578,750
Alfa Romeo,Gulietta,Sprężyna przednia,108,125,784,550
Alfa Romeo,Gulietta,Filtr oleju,69,81,1067,1800
Alfa Romeo,Gulietta,Chłodnica,1190,1277,14,30
Alfa Romeo,Brera,Wahacz przedni,396,410,250,530
Alfa Romeo,Brera,Amortyzator tylni,307,337,261,710
Alfa Romeo,Brera,Klocki hamulcowe,72,84,442,1150
Alfa Romeo,Brera,Maglownica,239,262,125,120
Alfa Romeo,Brera,Sprzęgło dwumasowe,448,459,304,290
Alfa Romeo,Brera,Wtrysk bezpośredni paliwa,220,231,1046,1330
Alfa Romeo,Brera,Tarcza hamulcowa,114,142,774,740
Alfa Romeo,Brera,Sprężyna przednia,190,208,517,660
Alfa Romeo,Brera,Filtr oleju,70,85,1101,1940
Alfa Romeo,Brera,Chłodnica,1456,1547,33,40
Alfa Romeo,Mito,Wahacz przedni,318,342,279,600
Alfa Romeo,Mito,Amortyzator tylni,346,353,357,530
Alfa Romeo,Mito,Klocki hamulcowe,113,129,542,690
Alfa Romeo,Mito,Maglownica,330,368,192,350
Alfa Romeo,Mito,Sprzęgło dwumasowe,527,552,323,380
Alfa Romeo,Mito,Wtrysk bezpośredni paliwa,203,219,1075,780
Alfa Romeo,Mito,Tarcza hamulcowa,79,107,666,890
Alfa Romeo,Mito,Sprężyna przednia,196,242,608,530
Alfa Romeo,Mito,Filtr oleju,47,59,1496,1550
Alfa Romeo,Mito,Chłodnica,1881,2066,29,20
Alfa Romeo,Tonale,Wahacz przedni,580,592,268,420
Alfa Romeo,Tonale,Amortyzator tylni,463,468,289,580
Alfa Romeo,Tonale,Klocki hamulcowe,94,100,448,700
Alfa Romeo,Tonale,Maglownica,443,470,112,400
Alfa Romeo,Tonale,Sprzęgło dwumasowe,511,522,215,260
Alfa Romeo,Tonale,Wtrysk bezpośredni paliwa,274,292,1190,1380
Alfa Romeo,Tonale,Tarcza hamulcowa,149,167,577,840
Alfa Romeo,Tonale,Sprężyna przednia,242,289,718,870
Alfa Romeo,Tonale,Filtr oleju,47,62,1096,1070
Alfa Romeo,Tonale,Chłodnica,1246,1389,22,20
Alfa Romeo,145,Wahacz przedni,503,514,361,510
Alfa Romeo,145,Amortyzator tylni,316,335,343,440
Alfa Romeo,145,Klocki hamulcowe,152,169,695,770
Alfa Romeo,145,Maglownica,401,444,247,130
Alfa Romeo,145,Sprzęgło dwumasowe,565,575,470,370
Alfa Romeo,145,Wtrysk bezpośredni paliwa,164,192,726,1360
Alfa Romeo,145,Tarcza hamulcowa,128,149,616,750
Alfa Romeo,145,Sprężyna przednia,186,228,733,510
Alfa Romeo,145,Filtr oleju,36,51,1425,2000
Alfa Romeo,145,Chłodnica,1724,1855,35,50
Alfa Romeo,159,Wahacz przedni,369,397,362,290
Alfa Romeo,159,Amortyzator tylni,352,383,348,470
Alfa Romeo,159,Klocki hamulcowe,92,101,677,1080
Alfa Romeo,159,Maglownica,330,355,151,210
Alfa Romeo,159,Sprzęgło dwumasowe,403,418,267,450
Alfa Romeo,159,Wtrysk bezpośredni paliwa,179,208,789,900
Alfa Romeo,159,Tarcza hamulcowa,176,196,576,740
Alfa Romeo,159,Sprężyna przednia,131,153,515,540
Alfa Romeo,159,Filtr oleju,89,109,1245,1800
Alfa Romeo,159,Chłodnica,1639,1761,23,10
Alfa Romeo,GT,Wahacz przedni,266,286,354,300
Alfa Romeo,GT,Amortyzator tylni,364,383,265,800
Alfa Romeo,GT,Klocki hamulcowe,142,157,710,550
Alfa Romeo,GT,Maglownica,464,507,110,280
Alfa Romeo,GT,Sprzęgło dwumasowe,504,526,201,290
Alfa Romeo,GT,Wtrysk bezpośredni paliwa,185,208,735,670
Alfa Romeo,GT,Tarcza hamulcowa,189,205,698,610
Alfa Romeo,GT,Sprężyna przednia,212,235,576,870
Alfa Romeo,GT,Filtr oleju,58,78,1267,1990
Alfa Romeo,GT,Chłodnica,1521,1720,15,30
Alfa Romeo,Spider,Wahacz przedni,226,251,373,290
Alfa Romeo,Spider,Amortyzator tylni,437,447,259,520
Alfa Romeo,Spider,Klocki hamulcowe,126,139,648,820
Alfa Romeo,Spider,Maglownica,285,303,261,360
Alfa Romeo,Spider,Sprzęgło dwumasowe,698,745,212,490
Alfa Romeo,Spider,Wtrysk bezpośredni paliwa,154,174,1016,550
Alfa Romeo,Spider,Tarcza hamulcowa,120,154,571,780
Alfa Romeo,Spider,Sprężyna przednia,164,177,697,840
Alfa Romeo,Spider,Filtr oleju,56,74,1181,1060
Alfa Romeo,Spider,Chłodnica,1505,1567,6,20
Alfa Romeo,Stelvio,Wahacz przedni,483,497,272,640
Alfa Romeo,Stelvio,Amortyzator tylni,354,367,280,610
Alfa Romeo,Stelvio,Klocki hamulcowe,121,131,545,690
Alfa Romeo,Stelvio,Maglownica,252,301,115,220
Alfa Romeo,Stelvio,Sprzęgło dwumasowe,616,646,269,320
Alfa Romeo,Stelvio,Wtrysk bezpośredni paliwa,242,265,1070,1450
Alfa Romeo,Stelvio,Tarcza hamulcowa,147,175,785,810
Alfa Romeo,Stelvio,Sprężyna przednia,189,199,573,510
Alfa Romeo,Stelvio,Filtr oleju,70,80,1472,1820
Alfa Romeo,Stelvio,Chłodnica,1202,1283,31,40
Chevrolet,Camaro,Wahacz przedni,494,515,347,650
Chevrolet,Camaro,Amortyzator tylni,390,412,368,350
Chevrolet,Camaro,Klocki hamulcowe,80,97,664,1090
Chevrolet,Camaro,Maglownica,251,290,193,200
Chevrolet,Camaro,Sprzęgło dwumasowe,605,650,268,450
Chevrolet,Camaro,Wtrysk bezpośredni paliwa,173,187,462,830
Chevrolet,Camaro,Tarcza hamulcowa,113,143,598,640
Chevrolet,Camaro,Sprężyna przednia,212,262,555,590
Chevrolet,Camaro,Filtr oleju,69,79,1391,1760
Chevrolet,Camaro,Chłodnica,1100,1175,13,50
Chevrolet,Aveo,Wahacz przedni,506,534,295,320
Chevrolet,Aveo,Amortyzator tylni,382,410,298,700
Chevrolet,Aveo,Klocki hamulcowe,175,192,702,550
Chevrolet,Aveo,Maglownica,355,371,125,130
Chevrolet,Aveo,Sprzęgło dwumasowe,397,417,380,250
Chevrolet,Aveo,Wtrysk bezpośredni paliwa,249,271,593,1340
Chevrolet,Aveo,Tarcza hamulcowa,197,210,585,700
Chevrolet,Aveo,Sprężyna przednia,222,269,781,480
Chevrolet,Aveo,Filtr oleju,47,56,1275,1120
Chevrolet,Aveo,Chłodnica,1085,1208,21,30
Chevrolet,Captiva,Wahacz przedni,536,550,259,280
Chevrolet,Captiva,Amortyzator tylni,386,403,262,730
Chevrolet,Captiva,Klocki hamulcowe,177,194,793,420
Chevrolet,Captiva,Maglownica,362,411,158,160
Chevrolet,Captiva,Sprzęgło dwumasowe,577,625,354,330
Chevrolet,Captiva,Wtrysk bezpośredni paliwa,111,121,896,1460
Chevrolet,Captiva,Tarcza hamulcowa,77,112,587,820
Chevrolet,Captiva,Sprężyna przednia,153,190,630,880
Chevrolet,Captiva,Filtr oleju,88,98,1173,1590
Chevrolet,Captiva,Chłodnica,1798,1926,8,50
Chevrolet,Cruze,Wahacz przedni,386,409,315,300
Chevrolet,Cruze,Amortyzator tylni,423,441,368,330
Chevrolet,Cruze,Klocki hamulcowe,57,76,699,1090
Chevrolet,Cruze,Maglownica,279,323,252,370
Chevrolet,Cruze,Sprzęgło dwumasowe,312,328,420,490
Chevrolet,Cruze,Wtrysk bezpośredni paliwa,251,262,803,620
Chevrolet,Cruze,Tarcza hamulcowa,171,192,611,650
Chevrolet,Cruze,Sprężyna przednia,247,293,533,670
Chevrolet,Cruze,Filtr oleju,60,78,1274,1440
Chevrolet,Cruze,Chłodnica,1591,1659,39,10
Chevrolet,Impala,Wahacz przedni,464,484,383,690
Chevrolet,Impala,Amortyzator tylni,377,383,282,630
Chevrolet,Impala,Klocki hamulcowe,152,170,567,890
Chevrolet,Impala,Maglownica,244,272,102,130
Chevrolet,Impala,Sprzęgło dwumasowe,434,451,341,250
Chevrolet,Impala,Wtrysk bezpośredni paliwa,138,158,985,1430
Chevrolet,Impala,Tarcza hamulcowa,102,127,750,890
Chevrolet,Impala,Sprężyna przednia,238,284,664,800
Chevrolet,Impala,Filtr oleju,38,55,1368,1890
Chevrolet,Impala,Chłodnica,1487,1610,9,40
Chevrolet,Lacetti,Wahacz przedni,396,406,250,540
Chevrolet,Lacetti,Amortyzator tylni,410,426,380,740
Chevrolet,Lacetti,Klocki hamulcowe,133,141,678,600
Chevrolet,Lacetti,Maglownica,283,311,295,240
Chevrolet,Lacetti,Sprzęgło dwumasowe,460,496,245,360
Chevrolet,Lacetti,Wtrysk bezpośredni paliwa,278,311,491,640
Chevrolet,Lacetti,Tarcza hamulcowa,194,207,542,650
Chevrolet,Lacetti,Sprężyna przednia,233,244,652,690
Chevrolet,Lacetti,Filtr oleju,63,75,1270,1070
Chevrolet,Lacetti,Chłodnica,1669,1866,18,10
Chevrolet,Orlando,Wahacz przedni,474,485,323,790
Chevrolet,Orlando,Amortyzator tylni,333,367,299,790
Chevrolet,Orlando,Klocki hamulcowe,108,124,465,1170
Chevrolet,Orlando,Maglownica,455,489,138,330
Chevrolet,Orlando,Sprzęgło dwumasowe,461,496,303,410
Chevrolet,Orlando,Wtrysk bezpośredni paliwa,258,291,1035,1440
Chevrolet,Orlando,Tarcza hamulcowa,76,111,611,750
Chevrolet,Orlando,Sprężyna przednia,117,128,620,670
Chevrolet,Orlando,Filtr oleju,43,61,1229,1260
